,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,vaasa,63.1,21.62,32.0,98,90,6.93,FI,1607567725
296,vieux-habitants,16.06,-61.77,69.8,88,0,1.12,GP,1607567725
297,ambur,12.78,78.7,71.02,80,1,3.06,IN,1607567725
298,saint-augustin,51.23,-58.65,33.33,92,100,6.73,CA,1607567725
299,sao miguel do iguacu,-25.35,-54.24,73.4,78,0,3.33,BR,1607567725
300,gat,31.61,34.76,57.0,100,0,3.0,IL,1607567726
301,ratnagiri,16.98,73.3,80.69,58,77,6.62,IN,1607567726
302,sao joao da barra,-21.64,-41.05,73.17,89,100,1.28,BR,1607567726
303,mogadishu,2.04,45.34,77.47,79,4,18.41,SO,1607567028
304,sambava,-14.27,50.17,75.47,82,3,4.59,MG,1607567726
305,gambela,8.25,34.58,76.86,46,98,2.68,ET,1607567255
306,praia da vitoria,38.73,-27.07,64.4,82,20,11.21,PT,1607567180
307,lima,-12.04,-77.03,66.2,88,75,12.75,PE,1607567663
308,ilulissat,69.22,-51.1,19.4,44,98,8.05,GL,1607567727
309,ormara,25.21,64.64,74.8,59,0,6.49,PK,1607567727
310,bedele,8.46,36.35,49.93,66,79,2.08,ET,1607567727
311,zhezkazgan,47.8,67.71,0.99,88,0,3.0,KZ,1607567728
312,champasak,14.75,106.0,75.2,69,20,2.24,LA,1607567728
313,sao jose da coroa grande,-8.9,-35.15,76.46,80,89,9.06,BR,1607567728
314,bonavista,48.65,-53.11,37.0,92,86,4.7,CA,1607567163
315,inhambane,-23.86,35.38,71.55,80,0,5.23,MZ,1607567212
316,trincomalee,8.57,81.23,80.06,75,38,10.74,LK,1607567729
317,sidi ali,36.1,0.42,48.74,86,0,9.66,DZ,1607567789
318,iracoubo,5.48,-53.2,78.17,86,63,8.66,GF,1607567789
319,pacific grove,36.62,-121.92,53.01,76,1,3.36,US,1607567789
320,witu,-2.39,40.44,73.4,94,20,3.58,KE,1607567789
321,carahue,-38.7,-73.17,51.8,100,0,6.93,CL,1607567789
322,hovd,48.01,91.64,5.77,78,0,2.8,MN,1607567790
323,vila,42.03,-8.16,48.99,96,100,7.0,PT,1607567790
324,elbistan,38.21,37.2,33.94,86,0,0.38,TR,1607567790
325,biggar,55.62,-3.52,39.0,10,98,3.0,GB,1607567790
326,aksarka,66.56,67.8,11.44,91,49,4.18,RU,1607567790
327,belaya gora,68.53,146.42,-25.85,86,100,3.11,RU,1607567791
328,kudahuvadhoo,2.67,72.89,82.49,69,79,5.28,MV,1607567240
329,kodiak,57.79,-152.41,30.2,63,1,10.29,US,1607567791
330,hamilton,39.18,-84.53,42.01,80,1,2.64,US,1607567619
331,sovetskiy,61.36,63.58,15.84,95,46,5.77,RU,1607567792
332,loandjili,-4.76,11.86,76.86,88,100,0.74,CG,1607567792
333,puerto cabello,10.47,-68.01,78.28,84,78,10.13,VE,1607567792
334,jacareacanga,-6.22,-57.75,73.72,89,100,1.14,BR,1607567792
335,bandarbeyla,9.49,50.81,74.59,80,15,16.26,SO,1607567793
336,guadalupe y calvo,26.1,-106.97,46.67,95,5,3.09,MX,1607567793
337,liwale,-9.77,37.93,67.71,97,100,3.09,TZ,1607567793
338,longyearbyen,78.22,15.64,28.4,74,75,10.29,SJ,1607567793
339,nanortalik,60.14,-45.24,28.02,79,0,5.3,GL,1607567794
340,amsterdam,52.37,4.89,37.99,93,90,9.17,NL,1607567508
341,moissala,8.34,17.77,71.13,25,100,1.5,TD,1607567794
342,beyla,8.68,-8.63,69.24,81,1,3.18,GN,1607567795
343,kutum,14.2,24.67,59.14,33,0,8.16,SD,1607567795
344,blind river,46.18,-82.96,37.4,87,40,9.17,CA,1607567795
345,praia,14.92,-23.51,73.4,69,75,16.11,CV,1607567795
346,tabou,4.42,-7.35,78.62,84,97,6.4,CI,1607567795
347,northam,51.03,-4.22,48.99,97,100,1.01,GB,1607567233
348,adony,47.12,18.86,41.0,93,90,9.17,HU,1607567796
349,katyuzhanka,50.81,30.14,19.4,79,0,8.95,UA,1607567796
350,college,64.86,-147.8,9.0,84,75,2.86,US,1607567796
351,katsuura,35.13,140.3,55.99,81,75,12.75,JP,1607567796
352,severnyy,50.68,36.55,15.8,72,0,8.95,RU,1607567796
353,gisborne,-38.65,178.0,81.0,44,0,11.01,NZ,1607567797
354,narsimhapur,22.95,79.2,69.01,44,0,4.05,IN,1607567797
355,mayo,38.89,-76.51,37.4,93,1,7.18,US,1607567626
356,burley,42.54,-113.79,33.8,43,1,6.93,US,1607567798
357,athabasca,54.72,-113.29,24.8,79,5,6.93,CA,1607567232
358,zambezi,-13.54,23.1,64.81,97,100,3.04,ZM,1607567799
359,nishihara,26.18,127.76,69.8,94,75,13.87,JP,1607567567
360,baculin,7.45,126.58,86.95,59,39,4.23,PH,1607567859
361,gondanglegi,-7.75,112.01,85.41,71,100,9.62,ID,1607567860
362,denpasar,-8.65,115.22,87.8,66,20,16.11,ID,1607567774
363,nyimba,-14.56,30.81,68.72,94,100,2.71,ZM,1607567860
364,kiunga,-6.12,141.29,81.48,84,97,5.88,PG,1607567860
365,borova,50.18,30.1,19.4,79,0,8.95,UA,1607567860
366,gizo,-8.1,156.84,84.04,72,100,6.55,SB,1607567861
367,kieta,-6.22,155.63,82.99,78,100,7.4,PG,1607567861
368,nipawin,53.37,-104.0,30.2,80,1,12.75,CA,1607567861
369,mucurapo,10.67,-61.53,77.0,78,20,7.78,TT,1607567861
370,mango,27.98,-82.31,51.8,93,1,3.74,US,1607567861
371,eyl,7.98,49.82,73.26,77,0,13.02,SO,1607567862
372,brokopondo,4.75,-55.17,76.78,86,98,8.23,SR,1607567862
373,riyadh,24.69,46.72,53.6,54,0,6.93,SA,1607567641
374,leningradskiy,69.38,178.42,1.45,89,99,0.65,RU,1607567862
375,laureles,26.11,-97.49,61.0,87,1,5.82,US,1607567862
376,baft,29.23,56.61,35.87,83,62,1.72,IR,1607567863
377,la paz,-16.5,-68.15,46.4,81,75,9.17,BO,1607567732
378,san fernando,15.03,120.69,82.4,74,75,6.93,PH,1607567863
379,sarangani,5.4,125.46,84.65,74,26,16.71,PH,1607567863
380,belmonte,-15.86,-38.88,75.2,83,20,6.93,BR,1607567863
381,kericho,-0.37,35.28,54.48,88,76,4.65,KE,1607567863
382,half moon bay,37.46,-122.43,59.0,58,1,10.29,US,1607567864
383,samur,41.83,48.49,38.25,77,100,4.85,RU,1607567864
384,nizwa,22.93,57.53,56.12,84,2,1.92,OM,1607567864
385,arima,10.63,-61.28,78.01,78,20,3.76,TT,1607567583
386,buritis,-15.62,-46.42,71.38,87,100,1.41,BR,1607567864
387,shu,43.6,73.76,16.23,92,56,3.58,KZ,1607567865
388,los llanos de aridane,28.66,-17.92,64.4,82,75,11.41,ES,1607567776
389,zhangye,38.93,100.45,28.45,73,3,4.74,CN,1607567865
390,iqaluit,63.75,-68.51,19.4,73,40,6.93,CA,1607567865
391,guerrero negro,27.98,-114.06,64.15,72,12,8.79,MX,1607567865
392,samarai,-10.62,150.67,84.43,69,62,8.86,PG,1607567866
393,aklavik,68.22,-135.01,-5.8,76,100,3.36,CA,1607567866
394,saint-paul,-21.01,55.27,75.2,78,75,16.11,RE,1607567866
395,cinco esquinas,10.1,-84.17,69.8,77,0,3.36,CR,1607567866
396,muscat,23.61,58.59,71.6,64,40,4.7,OM,1607567866
397,balaipungut,1.05,101.28,82.4,74,20,5.82,ID,1607567866
398,san cristobal,7.77,-72.22,64.98,91,49,1.23,VE,1607567754
399,starkville,33.45,-88.82,51.8,81,1,5.37,US,1607567610
400,mackenzie,55.3,-123.17,30.2,86,90,11.41,CA,1607567867
401,pangnirtung,66.15,-65.71,14.7,91,100,2.86,CA,1607567867
402,merauke,-8.47,140.33,83.55,71,100,3.49,ID,1607567867
403,sume,-7.67,-36.88,69.93,85,79,13.65,BR,1607567867
404,omboue,-1.57,9.26,76.03,91,84,5.75,GA,1607567868
405,fortuna,40.6,-124.16,50.0,93,43,3.47,US,1607567868
406,winnemucca,40.97,-117.74,28.4,58,1,4.7,US,1607567928
407,talaya,61.38,152.75,-9.18,88,100,1.05,RU,1607567928
408,arrigorriaga,43.21,-2.89,54.0,81,75,12.75,ES,1607567928
409,mae chan,20.15,99.85,71.01,88,59,1.12,TH,1607567929
410,genhe,50.78,121.52,2.86,89,100,4.5,CN,1607567929
411,usevya,-7.1,31.23,65.25,91,82,1.83,TZ,1607567929
412,talnakh,69.49,88.4,-16.6,68,33,15.66,RU,1607567929
413,port hedland,-20.32,118.57,86.0,66,90,12.75,AU,1607567930
414,kurilsk,45.23,147.88,35.89,81,92,17.94,RU,1607567930
415,sungurlu,40.17,34.37,38.62,74,0,3.06,TR,1607567930
416,lagoa,39.05,-27.98,63.01,91,100,23.4,PT,1607567930
417,at-bashi,41.17,75.81,14.16,80,99,0.45,KG,1607567930
418,miraflores,19.22,-98.81,66.2,32,90,4.7,MX,1607567931
419,asandh,29.52,76.6,64.36,51,0,6.6,IN,1607567931
420,da lat,11.95,108.44,71.87,73,98,5.28,VN,1607567911
421,eskisehir,39.78,30.52,37.4,93,0,8.05,TR,1607567931
422,palana,59.12,159.97,14.36,96,100,3.22,RU,1607567931
423,sechura,-5.56,-80.82,70.11,75,78,10.67,PE,1607567932
424,galesong,-5.32,119.37,87.8,62,20,4.7,ID,1607567932
425,inta,66.03,60.17,20.91,97,98,15.46,RU,1607567932
426,vrangel,42.73,133.08,34.68,81,0,4.36,RU,1607567932
427,oktyabrskoye,43.06,44.74,30.2,86,100,2.24,RU,1607567932
428,carmo do rio verde,-15.35,-49.71,68.09,89,100,2.82,BR,1607567933
429,santa cruz cabralia,-16.28,-39.02,75.2,83,20,6.93,BR,1607567735
430,uray,60.12,64.78,14.31,96,30,7.11,RU,1607567933
431,kampong cham,11.99,105.46,82.26,65,38,9.31,KH,1607567933
432,pital,2.27,-75.8,66.72,80,73,2.13,CO,1607567934
433,seymchan,62.88,152.43,-16.96,86,100,1.03,RU,1607567934
434,whitefish,48.41,-114.34,39.2,69,90,3.36,US,1607567896
435,abha,18.22,42.51,50.0,52,0,1.83,SA,1607567935
436,harper,4.38,-7.72,78.67,83,92,6.46,LR,1607567935
437,necochea,-38.55,-58.74,53.01,82,0,6.8,AR,1607567935
438,sandnessjoen,66.02,12.63,42.8,88,75,18.34,NO,1607567935
439,deputatskiy,69.3,139.9,-33.41,84,37,2.24,RU,1607567935
440,verkhnevilyuysk,63.45,120.32,-36.27,82,74,2.37,RU,1607567935
441,arkhara,49.42,130.08,10.69,91,83,3.67,RU,1607567936
442,talara,-4.58,-81.27,68.0,85,76,11.43,PE,1607567734
443,kosh-agach,50.0,88.67,-8.27,87,100,1.3,RU,1607567936
444,kumluca,36.37,30.29,57.0,67,6,6.38,TR,1607567937
445,pervomayskiy,53.25,40.29,18.05,87,0,7.76,RU,1607567937
446,krasnyy yar,46.53,48.35,14.0,85,0,2.24,RU,1607567937
447,kununurra,-15.77,128.73,91.4,63,40,6.93,AU,1607567937
448,santa rosa,14.31,121.11,78.8,94,90,2.24,PH,1607567937
449,trelew,-43.25,-65.31,59.2,57,0,11.16,AR,1607567938
450,takoradi,4.88,-1.76,78.26,87,16,7.76,GH,1607567938
451,bilma,18.69,12.92,70.54,22,38,6.53,NE,1607567938
452,paredon,16.03,-93.87,72.54,62,1,15.5,MX,1607567998
453,millerovo,48.92,40.4,18.97,89,22,12.77,RU,1607567999
454,awka,6.21,7.07,78.8,83,100,2.24,NG,1607567999
455,shubarshi,48.59,57.19,11.21,95,4,2.91,KZ,1607567999
456,erzin,36.96,36.2,46.4,100,0,3.29,TR,1607567999
457,wadi musa,30.32,35.48,44.01,84,0,6.46,JO,1607567889
458,oranjemund,-28.55,16.43,60.33,93,71,2.51,NA,1607568000
459,saint-prosper,46.21,-70.48,24.8,92,99,2.24,CA,1607568000
460,ano mera,37.45,25.4,62.6,72,50,16.11,GR,1607568000
461,svetlyy,54.67,20.13,28.4,74,75,11.18,RU,1607568001
462,miri,4.41,114.01,86.0,74,40,10.29,MY,1607568002
463,san quintin,30.48,-115.95,59.65,83,99,8.5,MX,1607567844
464,valparaiso,-33.04,-71.63,57.2,87,0,8.05,CL,1607568003
465,touros,-5.2,-35.46,77.0,88,40,5.82,BR,1607567902
466,akyab,20.15,92.9,71.64,62,1,5.57,MM,1607568004
467,guadalajara,20.67,-103.33,68.0,45,40,1.52,MX,1607567805
468,sorong,-0.88,131.25,86.13,69,31,7.23,ID,1607567804
469,ambulu,-8.35,113.61,86.67,67,40,5.48,ID,1607568004
470,naryan-mar,67.67,53.09,16.57,96,77,16.28,RU,1607568005
471,edd,13.93,41.69,76.24,67,0,5.64,ER,1607568005
472,valleyview,55.07,-117.29,24.8,73,68,4.7,CA,1607568005
473,oistins,13.07,-59.53,78.8,78,40,11.41,BB,1607568006
474,yarkovo,57.4,67.08,14.38,97,63,6.67,RU,1607568007
475,mazagao,-0.12,-51.29,77.0,100,40,2.24,BR,1607567912
476,comodoro rivadavia,-45.87,-67.5,59.0,67,0,6.93,AR,1607568007
477,girne,35.34,33.32,51.8,87,20,4.7,CY,1607568008
478,roald,62.58,6.13,41.0,60,8,13.87,NO,1607568008
479,misratah,32.38,15.09,58.26,52,56,19.46,LY,1607568008
480,harlingen,26.19,-97.7,63.0,76,1,9.17,US,1607568008
481,westport,41.14,-73.36,35.6,74,90,10.29,US,1607567988
482,bayan,46.08,127.4,10.24,92,85,7.76,CN,1607568009
483,loukhi,66.08,33.04,27.05,96,86,9.62,RU,1607568009
484,yanaul,56.27,54.93,8.89,92,0,4.52,RU,1607568009
485,kankan,10.39,-9.31,71.96,33,0,2.1,GN,1607567966
486,dubbo,-32.25,148.62,86.0,17,42,9.17,AU,1607568010
487,rocha,-34.48,-54.33,62.89,89,0,8.3,UY,1607568010
488,tilichiki,60.47,166.1,13.59,97,100,11.88,RU,1607567799
489,buchanan,5.88,-10.05,79.12,83,75,4.74,LR,1607567820
490,aracaju,-10.91,-37.07,78.8,83,20,10.29,BR,1607567824
491,kruisfontein,-34.0,24.73,63.0,97,100,1.99,ZA,1607568010
492,rocky mountain house,52.37,-114.92,19.4,92,0,2.24,CA,1607568011
493,yavoriv,49.94,23.38,28.4,92,90,13.42,UA,1607568011
494,siniscola,40.57,9.69,48.2,70,0,23.04,IT,1607568011
495,te anau,-45.42,167.72,63.1,53,92,8.41,NZ,1607568011
496,kamina,-8.74,24.99,64.26,98,100,3.09,CD,1607568012
497,slave lake,55.28,-114.77,32.0,93,90,4.7,CA,1607567800
498,penticton,49.48,-119.59,37.4,93,90,5.82,CA,1607568012
499,liku,-0.73,119.89,85.98,67,90,3.02,ID,1607568072
500,beringovskiy,63.05,179.32,19.81,95,78,3.42,RU,1607567896
501,matucana,-11.85,-76.4,60.85,60,95,3.85,PE,1607568072
502,hualmay,-11.1,-77.61,66.88,85,100,8.95,PE,1607568073
503,vila franca do campo,37.72,-25.43,60.8,93,75,10.29,PT,1607567917
504,enshi,30.3,109.48,51.48,67,86,1.54,CN,1607568073
505,oxford,51.75,-1.26,44.6,81,96,14.99,GB,1607567808
506,niimi,34.98,133.47,51.8,66,75,3.36,JP,1607568073
507,ajaccio,42.0,8.92,42.8,93,75,4.7,FR,1607568074
508,bachaquero,9.97,-71.15,78.76,85,78,5.32,VE,1607568074
509,inza,53.85,46.36,14.83,89,0,4.38,RU,1607568074
510,vostok,46.49,135.88,18.41,95,90,3.6,RU,1607568074
511,minuri,16.54,121.86,79.72,79,83,0.58,PH,1607568074
512,rabat,33.99,-6.84,55.99,100,75,4.34,MA,1607568074
513,troitskoye,52.98,84.68,5.25,95,100,7.7,RU,1607568075
514,tabuk,17.42,121.44,83.07,70,0,2.75,PH,1607568075
515,mayumba,-3.43,10.66,75.74,89,90,1.34,GA,1607568075
516,fengcheng,40.45,124.07,36.27,71,0,3.94,CN,1607568075
517,castrovillari,39.82,16.21,50.0,80,87,5.01,IT,1607568075
518,belyy yar,53.6,91.39,1.4,84,100,4.47,RU,1607568075
519,orlik,52.52,99.83,-16.17,77,23,2.8,RU,1607568076
520,waingapu,-9.66,120.26,85.59,70,100,11.61,ID,1607568076
521,atambua,-9.11,124.89,86.11,59,100,5.79,ID,1607567923
522,shipitsyno,61.28,46.52,18.34,90,1,4.74,RU,1607568076
523,chokurdakh,70.63,147.92,-18.94,89,100,3.6,RU,1607568076
524,urubamba,-13.3,-72.12,58.24,62,100,2.19,PE,1607568077
525,sao filipe,14.9,-24.5,74.8,71,100,10.49,CV,1607567803
526,shanghai,31.22,121.46,60.01,71,40,4.47,CN,1607568016
527,tsabong,-26.02,22.4,72.16,30,1,7.81,BW,1607568077
528,margate,51.38,1.39,44.01,84,100,5.01,GB,1607568077
529,salalah,17.02,54.09,71.6,26,0,14.99,OM,1607568078
530,kaeng khoi,14.59,101.0,80.01,68,2,6.35,TH,1607568078
531,saint-francois,46.42,3.91,39.0,93,90,3.36,FR,1607568078
532,manyana,-23.4,21.72,74.48,56,0,9.01,BW,1607568078
533,casa nova,-9.42,-41.13,75.2,69,0,3.36,BR,1607568079
534,san nicolas,18.17,120.6,86.0,74,75,4.7,PH,1607568079
535,sakakah,29.97,40.21,51.8,66,0,5.68,SA,1607568079
536,biak,-0.91,122.88,81.14,79,75,12.53,ID,1607568079
537,beidao,34.57,105.89,36.82,73,77,1.05,CN,1607568080
538,pordim,43.38,24.85,33.8,92,100,2.24,BG,1607568080
539,namibe,-15.2,12.15,64.6,79,79,7.87,AO,1607568080
540,borskoye,53.03,51.72,10.08,88,0,4.99,RU,1607568081
541,babai,22.7,77.93,69.06,47,19,3.53,IN,1607568081
542,iisalmi,63.56,27.19,24.8,85,90,9.17,FI,1607568081
543,tsaratanana,-16.78,47.65,74.75,80,98,0.92,MG,1607568081
544,jijiga,9.35,42.8,54.09,47,45,8.23,ET,1607568081
545,gold coast,-28.0,153.43,82.99,57,82,12.75,AU,1607567898
546,sorland,67.67,12.69,41.97,86,100,15.66,NO,1607568142
547,kayerkan,69.35,87.76,-16.6,68,40,15.66,RU,1607568142
548,tazovskiy,67.47,78.7,-11.72,90,63,9.78,RU,1607567922
549,nouadhibou,20.93,-17.03,62.6,77,0,20.8,MR,1607568084
550,reynosa,26.08,-98.28,64.99,51,1,6.93,MX,1607568083
551,nantucket,41.28,-70.1,37.4,86,90,6.93,US,1607568143
552,harrogate,53.99,-1.54,39.0,100,100,4.7,GB,1607568143
553,bosaso,11.28,49.18,76.46,68,23,10.63,SO,1607567849
554,pasighat,28.07,95.33,69.39,50,0,1.7,IN,1607568143
555,seabra,-12.42,-41.77,66.13,82,65,0.76,BR,1607568143
556,manzanillo,20.34,-77.12,64.81,70,19,9.51,CU,1607568143
557,zapolyarnyy,69.42,30.81,30.2,86,97,39.15,RU,1607568144
558,araouane,18.9,-3.53,63.01,25,61,10.78,ML,1607568144
559,tual,-5.67,132.75,84.58,71,78,7.09,ID,1607568144
560,ryotsu,38.08,138.43,48.2,66,75,10.29,JP,1607568145
561,tutoia,-2.76,-42.27,80.58,78,100,12.75,BR,1607568145
562,koungou,-12.73,45.2,77.0,88,0,1.12,YT,1607568145
563,coquimbo,-29.95,-71.34,57.2,87,26,4.7,CL,1607568145
564,nabire,-3.37,135.48,87.42,60,85,5.26,ID,1607568145
565,jiexiu,37.02,111.91,34.59,73,97,6.02,CN,1607568146
566,la gomera,14.08,-91.05,61.0,78,0,1.99,GT,1607568146
567,komsomolskiy,40.43,71.72,33.8,86,89,1.43,UZ,1607568146
568,fez,34.04,-5.0,51.8,87,0,6.93,MA,1607568146
569,yanam,16.73,82.22,71.6,83,20,6.93,IN,1607568146
570,faya,18.39,42.45,50.0,52,0,1.66,SA,1607567914
571,bogovarovo,58.98,47.02,14.61,87,0,1.77,RU,1607568147
572,fort nelson,58.81,-122.7,10.4,92,75,2.24,CA,1607568147
573,asau,46.43,26.4,30.99,11,100,3.36,RO,1607568147
574,sakaiminato,35.55,133.23,51.8,71,75,4.7,JP,1607568147
575,pundaguitan,6.37,126.17,84.18,71,62,6.15,PH,1607568148
576,muros,42.78,-9.06,59.0,94,100,1.01,ES,1607568148
577,tucumcari,35.17,-103.72,42.8,33,1,6.93,US,1607568148
578,ostrovnoy,68.05,39.51,24.62,95,49,26.04,RU,1607568148
579,nyurba,63.28,118.33,-35.01,82,95,1.79,RU,1607568148
580,puerto escondido,15.85,-97.07,77.0,78,20,3.36,MX,1607568149
581,bonthe,7.53,-12.51,78.96,87,0,4.76,SL,1607568149
582,brae,60.4,-1.35,46.4,75,96,23.04,GB,1607568149
583,prainha,-1.8,-53.48,74.8,91,12,2.98,BR,1607568150
584,zagreb,45.81,15.98,35.01,86,90,6.93,HR,1607568150
585,zhigansk,66.77,123.37,-37.79,81,38,1.28,RU,1607568150
586,syamzha,60.02,41.06,14.9,90,0,5.14,RU,1607568150
587,korla,41.76,86.15,26.35,87,0,0.6,CN,1607568150
588,la esperanza,14.87,-91.57,64.0,17,21,3.96,GT,1607568150
589,quatre cocos,-20.21,57.76,77.0,88,75,11.41,MU,1607567902
590,batemans bay,-35.72,150.18,68.0,72,51,4.0,AU,1607568211
591,raudeberg,61.99,5.14,44.6,56,2,16.11,NO,1607568211
